,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id,month,day_of_week,hour_of_day,trip_duration,calculated_total_amount
119,10.9,4,0,1,45.0,1.0,0.5,14.0,0.0,0.3,60.8,132,265,1,3,17,1668,40.25504681269515
120,11.5,1,0,1,32.5,1.0,0.5,6.85,0.0,0.3,41.15,132,138,4,0,18,2199,41.787122729054175
121,18.24,1,0,1,53.0,0.0,0.5,4.0,0.0,0.3,57.8,138,165,3,6,14,1966,41.56559811155377
122,9.25,1,0,1,39.0,0.0,0.5,9.11,5.76,0.3,54.67,138,48,9,2,10,2245,41.436465340031134
123,3.82,1,0,1,22.5,0.0,0.5,5.83,0.0,0.3,29.13,236,68,12,3,9,1360,41.46429013586851
124,11.9,1,0,2,34.0,0.0,0.5,0.0,0.0,0.3,34.8,132,138,3,4,13,1888,39.448386337799334
125,14.7,1,0,1,41.5,0.0,0.5,9.6,5.76,0.3,57.66,138,13,11,1,9,1508,41.656438969403524
126,6.36,1,0,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,161,261,5,0,20,1686,41.621022049840334
127,5.0,1,0,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,87,68,2,3,9,1161,41.578404071462245
128,9.8,1,0,1,30.5,0.0,0.5,7.4,5.76,0.3,44.46,264,264,3,1,13,84712,43.26823668669621
129,12.19,1,0,1,40.5,0.0,0.5,9.41,5.76,0.3,56.47,138,230,4,3,7,1292,41.580214380963525
130,8.75,1,0,1,28.5,0.0,0.5,7.77,0.0,0.3,37.07,233,195,5,6,10,1209,41.71573161695091
131,5.69,1,0,2,23.5,0.0,0.5,0.0,0.0,0.3,24.3,88,68,6,6,14,1651,39.50823137616385
132,10.14,1,0,1,39.5,0.5,0.5,8.16,0.0,0.3,48.96,114,37,3,5,2,1444,41.73906806981017
133,12.29,1,0,1,34.0,0.5,0.5,7.06,0.0,0.3,42.36,132,132,8,1,21,1602,41.764504353706016
134,8.86,1,0,1,29.5,1.0,0.5,6.5,0.0,0.3,37.8,236,66,1,0,19,1754,41.503745352645
135,0.29,1,0,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8,231,231,11,0,9,1882,39.432338034725554
136,9.67,1,0,1,33.0,0.0,0.5,4.0,5.76,0.3,43.56,238,138,6,6,14,1831,41.35216380324993
137,22.39,1,0,1,61.0,0.0,0.5,12.36,0.0,0.3,74.16,132,181,11,6,6,56,42.03404576406919
138,10.72,1,0,1,31.0,0.5,0.5,6.46,0.0,0.3,38.76,132,70,11,4,23,2555,41.86439151894931
139,18.35,1,0,1,54.5,0.0,0.5,5.7,0.0,0.3,61.0,33,132,11,1,6,1137,41.67006247001521
140,8.9,1,0,1,29.5,0.0,0.5,7.55,0.0,0.3,37.85,249,116,7,2,14,1727,41.52834734195932
141,7.5,1,0,1,23.5,0.0,0.5,6.0,5.76,0.3,36.06,138,263,3,6,16,1821,41.670864080550146
142,2.65,1,0,1,22.0,0.0,0.5,6.84,0.0,0.3,29.64,231,170,9,4,10,1787,41.491067971136715
143,7.73,1,0,1,29.5,1.0,0.5,7.41,5.76,0.3,44.47,234,223,5,1,16,2580,41.49218162557877
144,16.56,1,0,1,51.5,0.0,0.5,10.46,0.0,0.3,62.76,132,80,6,5,16,1629,41.75612651560649
145,10.79,1,0,2,35.0,1.0,0.5,0.0,5.76,0.3,42.56,138,163,7,2,18,2754,39.36675055396961
146,7.29,1,0,1,23.5,0.0,0.5,4.86,0.0,0.3,29.16,262,87,3,1,9,3531,41.4412404699906
147,0.18,1,0,1,2.5,0.5,0.5,0.7,0.0,0.3,4.5,263,263,3,2,20,2015,41.4628279574611
148,18.4,1,0,1,53.0,1.0,0.5,10.95,0.0,0.3,65.75,132,89,3,4,19,1034,41.91582103734029
149,19.3,1,0,1,53.5,0.0,0.5,5.7,0.0,0.3,60.0,138,155,3,6,16,1740,41.66567385801447
150,20.11,1,0,1,53.0,0.5,0.5,7.0,0.0,0.3,61.3,132,33,2,1,21,1453,41.63151705941441
151,10.7,1,0,1,31.5,0.5,0.5,6.56,0.0,0.3,39.36,138,181,4,4,22,80,41.74301370342886
152,29.78,1,0,1,79.0,0.0,0.5,17.66,8.5,0.3,105.96,264,264,3,2,7,2489,41.68720029829281
153,6.53,1,0,2,23.0,1.0,0.5,0.0,0.0,0.3,24.8,233,13,9,1,18,974,39.35197968644896
154,15.61,1,0,1,45.5,0.0,0.5,3.7,0.0,0.3,50.0,132,145,2,5,10,1944,41.57305725641659
155,13.97,1,0,1,39.0,0.5,0.5,4.03,0.0,0.3,44.33,132,223,4,2,23,2044,41.6152837578371
156,5.33,1,0,1,22.5,0.0,0.5,5.82,0.0,0.3,29.12,229,87,11,1,14,2069,41.471172491670444
157,5.5,1,0,1,21.5,0.5,0.5,4.0,0.0,0.3,26.8,158,181,3,4,23,2211,41.607575865655605
158,9.38,1,0,1,40.0,0.0,0.5,20.0,5.76,0.3,66.56,68,138,9,3,15,2618,42.010336322067175
159,6.3,1,0,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,100,41,3,4,21,2173,39.519376303850194
160,6.9,1,0,1,25.0,0.0,0.5,3.87,0.0,0.3,29.67,42,246,5,4,14,1702,41.727320924714626
161,7.13,1,0,1,23.5,0.0,0.5,4.86,0.0,0.3,31.11,237,87,3,1,7,1267,41.22577747900449
162,10.7,1,0,1,32.0,0.5,0.5,6.65,0.0,0.3,39.95,138,61,3,6,22,2323,41.82244064959141
163,6.7,1,0,1,26.5,0.0,0.5,5.45,0.0,0.3,32.75,249,236,8,0,11,3273,41.408616046925516
164,10.33,1,0,1,30.5,0.0,0.5,7.41,5.76,0.3,44.47,138,237,3,5,10,1096,41.682831864051266
165,9.07,1,0,1,30.0,1.0,0.5,0.0,5.76,0.3,37.56,209,226,8,4,18,1987,41.38537140629653
166,10.99,1,0,1,34.0,0.5,0.5,7.06,0.0,0.3,42.36,144,244,9,6,1,3590,42.02414414314009
167,0.1,1,0,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8,162,162,11,0,8,1627,39.500696247429545
168,17.2,1,0,1,51.0,1.0,0.5,15.8,0.0,0.3,68.6,132,21,3,0,17,2134,41.98833438419858
169,9.2,1,0,2,29.0,0.5,0.5,0.0,0.0,0.3,30.3,138,17,2,0,21,2093,39.296715153416926
170,5.32,1,0,1,28.0,0.0,0.5,5.76,0.0,0.3,34.56,151,68,10,0,8,4197,41.466796382266295
171,6.4,1,0,1,23.5,0.0,0.5,4.85,0.0,0.3,29.15,233,52,10,4,14,2077,41.545071657180586
172,8.75,1,0,1,27.5,0.0,0.5,6.81,5.76,0.3,40.87,138,236,3,6,13,2289,41.69398360500021
173,5.2,1,0,1,25.0,0.0,0.5,2.5,0.0,0.3,28.3,114,239,11,4,12,1340,41.54311227003336
174,20.19,3,0,1,73.5,0.5,0.0,23.32,19.0,0.3,116.62,164,1,5,6,21,1047,42.12054746847334
175,5.55,1,0,1,23.5,0.0,0.5,0.0,0.0,0.3,24.3,91,37,11,0,7,3354,41.416864208125645
176,9.47,1,0,1,28.5,0.5,0.5,5.96,0.0,0.3,35.76,114,244,3,5,2,3104,41.95816192547123
177,13.42,1,0,1,42.0,0.5,0.5,0.0,0.0,0.3,43.3,236,61,7,2,22,2735,41.22253062416114
178,4.9,1,0,1,27.5,0.0,0.5,5.65,0.0,0.3,33.95,87,186,3,3,14,1462,41.50023674718092
179,8.03,1,0,1,27.0,0.5,0.5,0.8,0.0,0.3,29.1,90,116,1,4,2,1556,41.61593282118169
180,7.6,1,0,1,22.5,0.0,0.5,4.0,5.76,0.3,33.06,138,262,3,5,9,2763,41.63623622193374
181,4.6,1,0,1,24.0,1.0,0.5,5.15,0.0,0.3,30.95,234,43,6,0,17,1538,41.40719848788855
182,8.9,1,0,1,29.5,0.0,0.5,9.0,5.76,0.3,45.06,162,138,9,4,13,3232,41.70929024133518
183,4.1,1,0,1,25.0,0.0,0.5,5.15,0.0,0.3,30.95,90,263,1,3,14,842,41.47295073739987
184,6.4,1,0,1,27.5,0.0,0.5,4.0,0.0,0.3,32.3,48,209,10,6,17,1632,41.735014139134925
185,6.3,1,0,2,24.0,1.0,0.5,0.0,0.0,0.3,25.8,234,166,12,1,17,2876,39.42282243100861
186,9.2,1,0,1,26.5,0.5,0.5,6.7,5.76,0.3,40.26,138,141,11,1,21,1522,41.65867357573387
187,11.9,1,0,1,45.5,0.0,0.5,10.4,5.76,0.3,62.46,138,100,11,3,7,1312,41.53212218338602
188,16.29,1,0,1,51.0,0.0,0.5,11.51,5.76,0.3,69.07,138,13,3,2,15,1650,41.51571147883077
189,7.27,1,0,1,25.5,0.5,0.5,4.2,0.0,0.3,31.0,233,97,8,3,21,1531,41.50712606394737
190,15.0,1,0,1,41.5,0.5,0.5,12.1,5.76,0.3,60.66,100,15,3,6,3,1801,42.03963501517828
191,13.57,1,0,1,45.0,1.0,0.5,9.36,0.0,0.3,56.16,132,181,8,3,19,2747,41.85953381163392
192,5.83,1,0,2,23.0,0.0,0.5,0.0,0.0,0.3,23.8,141,79,3,6,10,2687,39.4703650534036
193,4.44,1,0,1,23.0,0.0,0.5,3.8,0.0,0.3,27.6,148,100,6,6,16,3787,41.58888729979723
194,7.34,1,0,1,27.5,0.5,0.5,5.76,0.0,0.3,34.56,209,71,6,1,21,1340,41.46038243652329
195,18.5,1,0,1,52.5,0.0,0.5,10.66,0.0,0.3,63.96,132,33,7,6,17,2311,41.89168543634515
196,15.7,1,0,4,46.5,0.0,0.5,0.0,0.0,0.3,47.3,90,215,2,6,11,2534,35.480819318151596
197,10.46,1,0,1,31.0,0.0,0.5,10.0,5.76,0.3,47.56,138,143,3,6,19,2513,41.793972651140436
198,4.21,1,0,2,22.5,0.5,0.5,0.0,0.0,0.3,23.8,100,79,12,4,23,1215,39.46392694235045
199,9.58,1,0,1,33.0,1.0,0.5,6.96,0.0,0.3,41.76,161,138,10,3,18,1078,41.777733358900456
200,6.33,1,0,1,23.5,0.5,0.5,7.44,0.0,0.3,32.24,113,238,11,3,21,2297,41.880085627165755
201,5.1,1,0,1,22.5,0.5,0.5,4.0,0.0,0.3,27.8,230,7,2,5,0,1638,41.55099576338346
202,13.51,1,0,1,47.0,0.0,0.5,10.71,5.76,0.3,64.27,186,138,5,2,15,2300,41.42551179119785
203,10.2,1,0,1,31.0,1.0,0.5,6.55,0.0,0.3,39.35,246,127,4,3,18,38,41.639825175922574
204,7.4,1,0,1,24.0,0.0,0.5,4.95,0.0,0.3,29.75,236,243,6,1,12,1787,41.480280660500476
205,8.8,1,0,1,27.0,0.5,0.5,5.65,0.0,0.3,33.95,144,129,8,1,22,1315,41.66081894732907
206,8.44,1,0,1,33.0,1.0,0.5,6.96,0.0,0.3,41.76,161,243,10,1,18,1420,41.67486656373393
207,4.6,1,0,1,23.5,0.5,0.5,4.95,0.0,0.3,29.75,236,148,10,5,21,2306,41.55800979844862
208,6.5,1,0,2,24.5,0.0,0.5,0.0,0.0,0.3,25.3,75,68,9,2,7,34,39.43292247824513
209,7.3,1,0,1,23.0,0.5,0.5,4.85,0.0,0.3,29.15,231,133,1,1,22,2589,41.484596941311466
210,11.48,1,0,1,36.0,0.0,0.5,8.51,5.76,0.3,51.07,138,163,4,5,10,3899,41.717176027620354
211,10.61,1,0,1,32.5,0.0,0.5,6.66,0.0,0.3,39.96,132,92,8,3,7,1943,41.74534061607869
212,6.8,1,0,1,25.0,0.0,0.5,5.15,0.0,0.3,30.95,161,13,8,1,11,2002,41.519451906910874
213,12.4,1,0,1,45.0,0.0,0.5,10.3,5.76,0.3,61.86,138,162,11,1,9,1546,41.505487863925424
214,3.8,1,0,1,24.5,0.0,0.5,4.9,0.0,0.3,30.2,238,164,7,1,9,2012,41.28397893879681
215,8.37,1,0,1,24.5,1.0,0.5,6.0,5.76,0.3,38.06,138,162,11,4,19,1834,41.84277578178468
216,8.04,1,0,1,29.5,0.5,0.5,9.24,0.0,0.3,40.04,230,87,2,2,22,2897,41.59509757038455
217,7.84,1,0,1,31.5,1.0,0.5,6.66,0.0,0.3,39.96,237,13,10,1,16,3051,41.56755087146136
218,7.7,1,0,1,32.0,0.0,0.5,6.56,0.0,0.3,39.36,211,41,10,5,14,2294,41.54578384361639
219,5.9,1,0,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,230,25,3,1,0,1281,41.557263714052866
220,21.55,3,0,1,76.5,0.5,0.0,24.2,15.0,0.3,116.5,87,1,4,5,5,1259,42.38769804134333
221,9.77,1,0,1,36.0,1.0,0.5,8.71,5.76,0.3,52.27,68,138,6,1,17,2909,41.71795332320803
222,8.7,1,0,1,26.0,1.0,0.5,6.7,5.76,0.3,40.26,138,140,3,1,17,2569,41.688055168453324
223,13.5,1,0,1,49.0,0.5,0.5,11.2,5.76,0.3,67.26,161,14,3,1,21,2197,41.404696466494805
224,10.49,1,0,1,34.5,1.0,0.5,8.41,5.76,0.3,50.47,170,138,3,2,16,3077,41.65559398585708
